Jednostka podzialu administracyjnego;Rok;Przestepstwa stwierdzone;Przestepstwa wykryte;% wykrycia;;;;;;;
woj. zachodniopomorskie;2017;38;38;100,0;;;;;;;
woj. zachodniopomorskie;2016;27;25;92,6;;;;;;;
woj. zachodniopomorskie;2015;37;36;97,3;;;;;;;
woj. zachodniopomorskie;2014;35;33;94,3;;;;;;;
woj. zachodniopomorskie;2013;34;33;97,1;;;;;;;
woj. zachodniopomorskie;2012;44;45;97,8;;;;;;;
woj. zachodniopomorskie;2011;37;33;89,2;;;;;;;
woj. zachodniopomorskie;2010;46;41;89,1;;;;;;;
woj. zachodniopomorskie;2009;41;41;93,2;;;;;;;
woj. zachodniopomorskie;2008;39;35;87,5;;;;;;;
woj. zachodniopomorskie;2007;49;44;89,8;;;;;;;
woj. zachodniopomorskie;2006;31;30;93,8;;;;;;;
woj. zachodniopomorskie;2005;42;36;85,7;;;;;;;
woj. zachodniopomorskie;2004;56;53;94,6;;;;;;;
woj. zachodniopomorskie;2003;62;52;83,9;;;;;;;
woj. zachodniopomorskie;2002;78;73;92,4;;;;;;;
woj. zachodniopomorskie;2001;97;85;86,7;;;;;;;
woj. zachodniopomorskie;2000;80;77;95,1;;;;;;;
woj. zachodniopomorskie;1999;77;71;88,8;;;;;;;
